Team,Base City,Total Travel Time (hours)
Cameroon,Agadir,11.14
Senegal,Tangier,7.54
Cote d'Ivoire,Marrakesh,5.24
Algeria,Rabat,4.8
Egypt,Agadir,0.0
Mali,Casablanca,0.0
Morocco,Rabat,0.0
Nigeria,Fez,0.0
