Match ID,Round,Team 1,Team 2,Assigned Stadium,Assigned City
QF_1,Quarterfinal,Mali,Senegal,Prince Moulay Abdellah Sports Complex,Rabat
QF_2,Quarterfinal,Egypt,Cote d'Ivoire,Grand Stadium of Marrakesh,Marrakesh
QF_3,Quarterfinal,Cameroon,Morocco,Grand Stadium of Marrakesh,Marrakesh
QF_4,Quarterfinal,Algeria,Nigeria,Stade Al Medina,Rabat
