Team,Base City,Round,Match ID,Assigned Stadium,Assigned City,Travel Time for Match (hours),Stage Travel Total (hours),Competition Travel Total (hours)
Morocco,Rabat,Semifinal,SF_2,Prince Moulay Abdellah Sports Complex,Rabat,0.0,0.0,0.0
Morocco,Rabat,Final,F_1,Prince Moulay Abdellah Sports Complex,Rabat,0.0,0.0,0.0
Mozambique,Agadir,Group Stage,F3,Grand Stadium of Marrakesh,Marrakesh,5.24,5.24,16.380000000000003
Mozambique,Agadir,Group Stage,F5,Grand Stadium of Agadir,Agadir,0.0,5.24,16.380000000000003
Mozambique,Agadir,Group Stage,F6,Grand Stadium of Agadir,Agadir,0.0,5.24,16.380000000000003
Mozambique,Agadir,Round of 16,R16_6,Prince Moulay Abdellah Sports Complex,Rabat,11.14,11.14,16.380000000000003
Nigeria,Fez,Group Stage,C1,Grand Stadium of Fez,Fez,0.0,0.0,14.399999999999999
Nigeria,Fez,Group Stage,C2,Grand Stadium of Fez,Fez,0.0,0.0,14.399999999999999
Nigeria,Fez,Group Stage,C3,Grand Stadium of Fez,Fez,0.0,0.0,14.399999999999999
Nigeria,Fez,Round of 16,R16_6,Prince Moulay Abdellah Sports Complex,Rabat,4.8,4.8,14.399999999999999
Nigeria,Fez,Quarterfinal,QF_4,Prince Moulay Abdellah Sports Complex,Rabat,4.8,4.8,14.399999999999999
Nigeria,Fez,Semifinal,SF_2,Prince Moulay Abdellah Sports Complex,Rabat,4.8,4.8,14.399999999999999
Senegal,Tangier,Group Stage,D1,Grand Stadium of Tangier,Tangier,0.0,0.0,11.32
Senegal,Tangier,Group Stage,D2,Grand Stadium of Tangier,Tangier,0.0,0.0,11.32
Senegal,Tangier,Group Stage,D3,Grand Stadium of Tangier,Tangier,0.0,0.0,11.32
Senegal,Tangier,Round of 16,R16_1,Grand Stadium of Tangier,Tangier,0.0,0.0,11.32
Senegal,Tangier,Quarterfinal,QF_1,Grand Stadium of Tangier,Tangier,0.0,0.0,11.32
Senegal,Tangier,Semifinal,SF_1,Prince Moulay Abdellah Sports Complex,Rabat,5.66,5.66,11.32
Senegal,Tangier,Final,F_1,Prince Moulay Abdellah Sports Complex,Rabat,5.66,5.66,11.32
South Africa,Marrakesh,Group Stage,B1,Grand Stadium of Marrakesh,Marrakesh,0.0,5.24,10.48
South Africa,Marrakesh,Group Stage,B4,Grand Stadium of Agadir,Agadir,5.24,5.24,10.48
South Africa,Marrakesh,Group Stage,B5,Grand Stadium of Marrakesh,Marrakesh,0.0,5.24,10.48
South Africa,Marrakesh,Round of 16,R16_4,Grand Stadium of Agadir,Agadir,5.24,5.24,10.48
Sudan,Casablanca,Group Stage,E3,Prince Moulay Abdellah Sports Complex,Rabat,2.74,2.74,10.280000000000001
Sudan,Casablanca,Group Stage,E5,Mohammed V Complex,Casablanca,0.0,2.74,10.280000000000001
Sudan,Casablanca,Group Stage,E6,Mohammed V Complex,Casablanca,0.0,2.74,10.280000000000001
Sudan,Casablanca,Round of 16,R16_1,Grand Stadium of Tangier,Tangier,7.54,7.54,10.280000000000001
Tanzania,Rabat,Group Stage,C3,Grand Stadium of Fez,Fez,4.8,4.8,4.8
Tanzania,Rabat,Group Stage,C5,Prince Moulay Abdellah Sports Complex,Rabat,0.0,4.8,4.8
Tanzania,Rabat,Group Stage,C6,Prince Moulay Abdellah Sports Complex,Rabat,0.0,4.8,4.8
Tanzania,Rabat,Round of 16,R16_3,Prince Moulay Abdellah Sports Complex,Rabat,0.0,0.0,4.8
Tunisia,Rabat,Group Stage,C1,Grand Stadium of Fez,Fez,4.8,4.8,4.8
Tunisia,Rabat,Group Stage,C4,Prince Moulay Abdellah Sports Complex,Rabat,0.0,4.8,4.8
Tunisia,Rabat,Group Stage,C5,Prince Moulay Abdellah Sports Complex,Rabat,0.0,4.8,4.8
Tunisia,Rabat,Round of 16,R16_2,Prince Moulay Abdellah Sports Complex,Rabat,0.0,0.0,4.8
Uganda,Rabat,Group Stage,C2,Grand Stadium of Fez,Fez,4.8,4.8,4.8
Uganda,Rabat,Group Stage,C4,Prince Moulay Abdellah Sports Complex,Rabat,0.0,4.8,4.8
Uganda,Rabat,Group Stage,C6,Prince Moulay Abdellah Sports Complex,Rabat,0.0,4.8,4.8
Zambia,Casablanca,Group Stage,A1,Prince Moulay Abdellah Sports Complex,Rabat,2.74,2.74,2.74
Zambia,Casablanca,Group Stage,A4,Mohammed V Complex,Casablanca,0.0,2.74,2.74
Zambia,Casablanca,Group Stage,A5,Mohammed V Complex,Casablanca,0.0,2.74,2.74
Zimbabwe,Marrakesh,Group Stage,B3,Grand Stadium of Marrakesh,Marrakesh,0.0,5.24,5.24
Zimbabwe,Marrakesh,Group Stage,B5,Grand Stadium of Marrakesh,Marrakesh,0.0,5.24,5.24
Zimbabwe,Marrakesh,Group Stage,B6,Grand Stadium of Agadir,Agadir,5.24,5.24,5.24
