Match ID,Round,Team 1,Team 2,Assigned Stadium,Assigned City
R16_1,Round of 16,Senegal,Sudan,Mohammed V Complex,Casablanca
R16_2,Round of 16,Mali,Tunisia,Mohammed V Complex,Casablanca
R16_3,Round of 16,Morocco,Tanzania,Rabat Olympic Stadium,Rabat
R16_4,Round of 16,South Africa,Cameroon,Grand Stadium of Agadir,Agadir
R16_5,Round of 16,Egypt,Benin,Grand Stadium of Marrakesh,Marrakesh
R16_6,Round of 16,Nigeria,Mozambique,Mohammed V Complex,Casablanca
R16_7,Round of 16,Algeria,DR Congo,Rabat Olympic Stadium,Rabat
R16_8,Round of 16,Cote d'Ivoire,Burkina Faso,Mohammed V Complex,Casablanca
