Team,Base City,Total Travel Time (hours)
Mozambique,Agadir,9.6
Sudan,Casablanca,7.54
Benin,Rabat,7.0
Nigeria,Fez,6.06
South Africa,Marrakesh,5.24
Egypt,Agadir,5.24
Burkina Faso,Casablanca,4.94
Tunisia,Rabat,2.74
Mali,Casablanca,0.0
DR Congo,Rabat,0.0
Cote d'Ivoire,Marrakesh,0.0
Cameroon,Agadir,0.0
Algeria,Rabat,0.0
Morocco,Rabat,0.0
Senegal,Tangier,0.0
Tanzania,Rabat,0.0
